wave,id,age,gender,ambition,ambition_1,ambition_2,ambition_3,ambition_4,ambition_5,ambition_6,ambition_7,motivation_to_lead,mtl_1,mtl_2,mtl_3,mtl_4,mtl_5,mtl_6,mtl_7,mtl_8,drive_to_achieve,extra,leader_ability,self,others,direct_reports,managers,peers
1,68,50,1,7,7,7,7,7,7,7,7,6,6,7,6,7,6,5,6,5,NA,NA,NA,6.22,6.55924149659864,6.755,6.29,6.498103741496599
1,69,50,1,6,6,6,7,5,6,5,7,5.5,6,5,7,6,4,6,3,7,NA,NA,NA,4.22,6.1924081632653065,NA,5.82,6.285510204081633
1,70,44,2,4.428571428571429,4,4,5,5,5,3,5,4.25,4,6,4,5,6,3,3,3,NA,NA,NA,4.64,5.463196810857267,5.619252193631075,5.260408163265306,5.390315398886828
1,71,39,1,5.714285714285714,5,7,4,6,6,5,7,6.625,6,7,7,6,7,7,6,7,NA,NA,NA,5.44,6.053747751380188,5.967316181791865,5.82,6.218095238095239
1,72,45,2,6.714285714285714,7,7,7,7,5,7,7,5.75,4,7,7,6,5,6,6,5,NA,NA,NA,5.387755102040816,5.108775510204081,4.888979591836735,NA,5.328571428571429
1,73,47,2,6,5,6,7,6,6,5,7,5.125,2,7,6,4,6,4,6,6,NA,NA,NA,6.06,5.947589842637159,NA,6.068181818181818,5.907392517455605
1,74,NA,1,6.857142857142857,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,NA,NA,NA,5.92,6.0345380434782605,6.408333333333333,5.58,5.963768115942029
1,75,27,2,6.571428571428571,6,7,5,7,7,7,7,5.375,5,7,7,5,3,4,6,6,NA,NA,NA,5.6,5.736650055924419,5.57098918794571,NA,5.985141357892482
1,76,44,1,7,7,7,7,7,7,7,7,4.25,5,3,5,4,5,4,3,5,NA,NA,NA,5.36,5.889328231292517,5.640000000000001,5.285714285714286,6.1180320699708455
1,77,50,1,6.142857142857143,6,6,4,7,7,7,6,5.625,6,6,6,6,6,6,4,5,NA,NA,NA,5.22,6.170068027210885,6.266666666666667,NA,6.073469387755102
1,78,46,2,6,6,7,4,6,7,6,6,4.75,4,6,6,3,5,4,5,5,NA,NA,NA,5.122448979591836,5.964065040650406,NA,5.62,6.078753387533875
1,79,32,1,6.142857142857143,4,7,6,6,7,6,7,4.5,4,5,3,5,5,4,6,4,NA,NA,NA,4.84,5.020693451425767,4.39944118257849,3.88,6.022176870748299
1,80,42,2,6.857142857142857,7,7,7,7,7,7,6,6.125,6,7,6,6,7,6,6,5,NA,NA,NA,5.34,5.789102210727029,6.245369083803734,5.913043478260869,5.139432624113475
1,81,22,1,6.571428571428571,7,5,6,7,7,7,7,5.625,7,5,5,6,5,6,5,6,NA,NA,NA,5.448979591836735,5.907551020408164,NA,5.18,6.150068027210884
1,82,32,2,6.571428571428571,7,7,6,7,7,5,7,6,7,7,7,6,7,7,1,6,NA,NA,NA,6.224489795918367,4.756363636363636,4.565,5.51,4.608
1,83,33,2,6.142857142857143,4,7,7,7,7,4,7,6.375,7,7,7,5,7,6,6,6,NA,NA,NA,5.3061224489795915,6.135,NA,6.1,6.17
1,84,NA,2,6,5,6,7,6,7,5,6,5.875,6,7,6,6,6,6,5,5,NA,NA,NA,6.02,6.400096521064566,5.76,6.225552721088436,6.729824561403509
1,85,30,1,6.714285714285714,6,7,7,6,7,7,7,4.25,6,3,2,4,6,5,5,3,NA,NA,NA,4.58,5.879755102040816,5,5.66,6.246258503401361
1,86,41,1,6,5,6,7,7,5,5,7,6.625,7,7,7,6,7,7,6,6,NA,NA,NA,5.16,5.971538120567375,5.890212765957447,6.010833333333334,6.026666666666666
1,87,38,1,5.857142857142857,4,6,7,5,7,5,7,4.75,4,5,5,5,5,4,5,5,NA,NA,NA,4.58,5.743019394093041,5.6066666666666665,4.56,6.273711919550429
1,88,31,1,7,7,7,7,7,7,7,7,5.25,3,7,7,6,5,6,3,5,NA,NA,NA,4.36,5.762294372294372,6.17,6.32,5.304588744588744
1,89,34,1,6.571428571428571,7,7,7,6,7,6,6,6,7,6,6,6,6,6,5,6,NA,NA,NA,5.62,5.568798701298701,NA,6.409090909090909,5.288701298701299
1,90,44,1,6.857142857142857,6,7,7,7,7,7,7,6.25,6,6,7,6,7,6,6,6,NA,NA,NA,5.76,6.198974358974359,5.8,NA,6.331965811965812
1,91,40,2,5.714285714285714,3,7,3,7,7,6,7,4.625,2,6,7,2,7,2,7,4,NA,NA,NA,6.3,6.005928085519923,5.87,5.78,6.247165532879818
1,92,35,1,6.285714285714286,6,7,6,7,7,5,6,3.625,3,3,2,5,4,6,2,4,NA,NA,NA,4.58,5.927048611111111,6.029999999999999,6.23,5.724097222222222
1,93,30,1,6.428571428571429,5,7,5,7,7,7,7,5.625,5,7,7,3,7,5,7,4,NA,NA,NA,5.68,6.258053830227743,6.141476880607316,6.171632653061224,6.432244897959183
1,94,38,2,5.285714285714286,5,7,4,5,5,4,7,4.25,3,7,6,1,5,3,3,6,NA,NA,NA,5.489795918367347,5.756317038443284,NA,5.83265306122449,5.705426356589148
1,95,40,1,6.428571428571429,6,6,7,7,6,6,7,5.625,5,7,6,6,6,5,5,5,NA,NA,NA,4.9,5.967489361702127,6.448723404255319,4.44,6.25
1,96,41,1,6.714285714285714,6,7,7,6,7,7,7,5,5,6,5,4,6,5,5,4,NA,NA,NA,5.42,5.437238767600063,6.039375,5.845833333333333,4.763418235511259
1,97,48,1,6.857142857142857,7,7,7,6,7,7,7,5,5,7,4,3,5,5,7,4,NA,NA,NA,5.8,5.414574468085107,5.78,5.58,5.099148936170213
1,98,36,2,7,7,7,7,7,7,7,7,5.5,3,7,7,5,5,5,6,6,NA,NA,NA,6.26,6.224556994552369,6.891111111111111,5.860833333333334,5.906503237742831
1,99,39,1,5.142857142857143,5,6,7,5,5,2,6,6,7,7,6,3,5,7,6,7,NA,NA,NA,6.12,5.753108038428137,5.495310464611376,5.8,6.0812074829931975
1,100,58,1,6.285714285714286,6,6,6,7,6,6,7,5.625,6,6,5,5,6,6,6,5,NA,NA,NA,5.58,6.059078540507112,6.390000000000001,4.76,6.271490414347557
